Beetle,r1,r2,r3,r4,Sequence
1,5,35,0,345,eccb
2,260,265,230,240,fddb
3,165,220,215,175,bcce
4,315,270,270,300,bddf
5,40,65,55,95,eccb
6,35,330,350,310,fddb
7,90,105,85,95,bcce
8,65,95,80,95,bddf
9,40,65,30,45,eccb
10,25,350,330,340,fddb
11,80,45,45,15,bcce
12,320,295,325,270,bddf
13,255,195,205,235,eccb
14,355,325,345,295,fddb
15,125,95,115,110,bcce
16,155,150,120,120,bddf
17,40,45,65,50,eccb
18,195,165,185,145,fddb
19,120,140,135,115,bcce
20,270,215,200,180,bddf
