beetle,r1,r2,r3,r4,sequence
1,350,10,340,300,eccb
2,120,110,110,55,fddb
3,85,75,115,60,bcce
4,350,50,20,330,bddf
5,320,300,305,275,eccb
6,75,105,110,70,fddb
7,295,285,330,280,bcce
8,130,120,120,80,bddf
9,170,125,130,135,eccb
10,295,240,260,220,fddb
11,45,345,340,355,bcce
12,130,90,110,80,bddf
13,280,285,285,280,eccb
14,130,130,120,100,fddb
15,130,140,140,120,bcce
16,340,20,0,20,bddf
17,30,50,45,55,eccb
18,195,160,190,130,fddb
19,170,140,170,115,bcce
20,205,145,195,130,bddf
