beetle,r1,r2,r3,r4,sequence
1,125,115,120,115,eccb
2,100,130,120,165,fddb
3,65,100,75,145,bcce
4,300,270,290,295,bddf
5,260,300,275,335,eccb
6,75,110,110,110,fddb
7,205,265,245,290,bcce
8,200,165,185,180,bddf
9,250,220,250,240,eccb
10,270,315,280,295,fddb
11,300,310,335,25,bcce
12,160,215,190,215,bddf
13,115,140,145,165,eccb
14,290,250,250,270,fddb
15,330,340,10,20,bcce
16,325,325,320,50,bddf
17,5,30,30,20,eccb
18,50,60,70,50,fddb
19,110,110,95,165,bcce
20,330,20,340,50,bddf
